location,bhk,total_sqft,bath,price
other,2.0,1070.0,2.0,42.0
Varthur,2.0,1012.0,2.0,66.5
Mahadevpura,2.0,1260.0,2.0,57.6
Sarjapur  Road,2.0,1282.0,2.0,72.0
Kanakpura Road,3.0,1843.0,3.0,92.15
other,4.0,2400.0,3.0,200.0
Hebbal,4.0,2790.0,5.0,198.0
EPIP Zone,2.0,1330.0,2.0,86.98
Konanakunte,3.0,1400.0,2.0,73.0
Whitefield,2.0,1192.0,2.0,71.0
other,2.0,1000.0,2.0,130.0
Thigalarapalya,2.0,1297.0,2.0,103.0
Sarjapur  Road,1.0,615.0,1.0,17.835
Vijayanagar,3.0,1490.0,3.0,100.0
Rayasandra,3.0,1373.0,3.0,72.0
7th Phase JP Nagar,2.0,1035.0,2.0,41.39
Kadugodi,4.0,3750.0,4.0,210.0
Doddakallasandra,2.0,1010.0,2.0,40.39
Sarjapur,2.0,1195.0,2.0,42.0
HSR Layout,3.0,1750.0,3.0,95.0
Malleshpalya,2.0,1052.0,2.0,50.0
Horamavu Banaswadi,2.0,1180.0,2.0,58.0
Hormavu,3.0,2100.0,3.0,73.0
Hoodi,4.0,2863.0,4.0,140.0
Raja Rajeshwari Nagar,2.0,1128.0,2.0,38.24
Ulsoor,3.0,2700.0,3.0,450.0
JP Nagar,2.0,1120.0,2.0,33.6
HSR Layout,3.0,2424.0,3.0,90.0
other,2.0,1300.0,2.0,60.0
Kanakapura,2.0,1090.0,2.0,32.69
Yelahanka,3.0,2710.0,3.0,251.0
other,2.0,3040.0,1.0,180.0
Uttarahalli,3.0,1330.0,2.0,46.55
Hosur Road,3.0,1427.0,2.0,80.63
Banjara Layout,3.0,1294.0,2.0,48.0
Begur,3.0,1580.0,3.0,75.0
Chikka Tirupathi,3.0,1808.0,4.0,80.27
Rajaji Nagar,4.0,3516.0,4.0,540.0
Parappana Agrahara,2.0,1194.0,2.0,47.0
Kanakpura Road,2.0,900.0,2.0,46.0
other,3.0,1310.0,2.0,50.0
Kanakpura Road,2.0,900.0,2.0,46.0
Singasandra,4.0,3850.0,6.0,195.0
Yelachenahalli,2.0,2400.0,1.0,150.0
Koramangala,2.0,1290.0,2.0,100.0
other,3.0,1390.0,3.0,120.0
other,4.0,1200.0,4.0,72.0
Bisuvanahalli,2.0,845.0,2.0,33.0
Yelahanka,3.0,1537.0,3.0,120.0
other,2.0,1135.0,2.0,68.0
Hoodi,3.0,1512.0,3.0,75.77
other,2.0,900.0,2.0,55.0
Jigani,3.0,1230.0,3.0,54.0
other,3.0,1378.0,2.0,42.33
Whitefield,2.0,1277.0,2.0,61.3
Hebbal,3.0,1985.0,4.0,189.0
other,2.0,1210.0,2.0,62.0
Yelahanka,2.0,890.0,2.0,40.0
Sarjapur,4.0,1200.0,5.0,110.0
Ardendale,4.0,3198.0,4.0,200.0
other,3.0,1464.0,3.0,56.0
Hebbal,4.0,2483.0,5.0,215.0
Begur,4.0,1550.0,4.0,130.0
Sarjapur  Road,4.0,4111.0,4.0,310.0
Electronic City,2.0,975.0,2.0,37.5
other,3.0,2500.0,3.0,250.0
Rajiv Nagar,3.0,1690.0,3.0,125.0
Hosa Road,2.0,1063.0,2.0,31.89
Cooke Town,3.0,2572.0,3.0,390.0
other,3.0,2200.0,4.0,350.0
other,3.0,1600.0,3.0,80.0
other,3.0,1250.0,3.0,39.5
Bommanahalli,1.0,520.0,1.0,19.5
Marathahalli,4.0,4000.0,5.0,212.0
Munnekollal,3.0,1390.0,3.0,68.0
Whitefield,2.0,1185.0,2.0,40.0
Sahakara Nagar,2.0,1219.0,2.0,48.0
Kudlu Gate,3.0,1564.0,2.0,92.0
Sarjapur  Road,4.0,3430.0,6.0,228.5
Hosa Road,2.0,1100.0,2.0,37.1
Kothannur,3.0,1300.0,2.0,60.0
Chikkabanavar,3.0,1600.0,2.0,80.0
Ramamurthy Nagar,3.0,1600.0,3.0,75.0
Hennur Road,3.0,1482.0,2.0,92.0
Marsur,3.0,1000.0,4.0,66.0
Shampura,2.0,1200.0,2.0,53.0
Gubbalala,3.0,600.0,3.0,75.0
Kengeri,2.0,1200.0,2.0,58.0
Nagarbhavi,3.0,2400.0,3.0,160.0
Marathahalli,3.0,1469.0,3.0,89.0
Kanakapura,1.0,551.0,1.0,30.0
Electronics City Phase 1,2.0,1160.0,2.0,52.0
Balagere,2.0,1205.0,2.0,78.5
Kasavanhalli,3.0,1550.0,2.0,52.0
Gubbalala,3.0,1745.0,3.0,125.0
AECS Layout,2.0,1028.0,2.0,42.0
Frazer Town,3.0,1700.0,3.0,180.0
Karuna Nagar,3.0,1200.0,2.0,34.0
Kodihalli,3.0,2700.0,4.0,270.0
other,2.0,1100.0,2.0,50.0
Ramamurthy Nagar,2.0,1200.0,3.0,72.0
other,2.0,1269.72,2.0,68.0
Electronic City Phase II,2.0,1266.0,2.0,59.0
Mysore Road,2.0,1060.0,2.0,62.0
other,3.0,1168.0,3.0,70.0
other,2.0,1552.0,2.0,51.0
Talaghattapura,3.0,2038.0,3.0,120.0
Attibele,1.0,500.0,1.0,17.0
Hulimavu,2.0,1080.0,2.0,43.2
other,4.0,2100.0,4.0,155.0
other,2.0,1300.0,2.0,65.0
Electronics City Phase 1,2.0,920.0,2.0,33.0
other,4.0,817.0,2.0,120.0
Harlur,2.0,1310.0,2.0,50.0
Horamavu Agara,3.0,1650.0,2.0,75.0
other,3.0,1515.0,3.0,93.93
Raja Rajeshwari Nagar,2.0,1157.0,2.0,53.8
other,4.0,2400.0,5.0,85.0
Konanakunte,4.0,3000.0,4.0,160.0
Basavangudi,3.0,2200.0,2.0,162.0
other,2.0,1243.0,2.0,58.0
Rachenahalli,3.0,1530.0,2.0,74.39
Judicial Layout,3.0,2070.0,3.0,162.0
Yelahanka,3.0,1815.0,3.0,82.0
Sarjapur  Road,4.0,3900.0,4.0,300.0
Electronic City Phase II,2.0,1000.0,2.0,28.88
Ananth Nagar,2.0,982.0,2.0,24.55
Hennur Road,2.0,1232.0,2.0,89.0
Binny Pete,3.0,1282.0,3.0,178.0
Yelahanka,1.0,654.0,1.0,38.4
Bannerghatta Road,2.0,1181.0,2.0,55.0
Bisuvanahalli,3.0,1075.0,2.0,45.0
2nd Stage Nagarbhavi,4.0,1200.0,4.0,245.0
other,3.0,1616.0,3.0,75.0
Whitefield,3.0,1306.0,3.0,54.65
Whitefield,3.0,1626.0,3.0,89.0
Whitefield,3.0,1585.0,3.0,88.0
7th Phase JP Nagar,2.0,1370.0,2.0,56.17
Kanakpura Road,2.0,1495.0,2.0,90.0
other,3.0,2000.0,3.0,210.0
Bannerghatta,3.0,1375.0,3.0,57.0
Old Madras Road,4.0,3715.0,6.0,224.5
Kereguddadahalli,3.0,1400.0,2.0,48.0
Whitefield,1.0,665.0,2.6926096474673513,28.585
Hebbal Kempapura,4.0,1200.0,4.0,215.0
Yelahanka,2.0,1150.0,2.0,46.0
Hebbal,2.0,1080.0,2.0,54.0
Kaikondrahalli,3.0,1645.0,3.0,100.0
other,3.0,1760.0,3.0,176.0
other,1.0,595.0,1.0,42.0
Bommenahalli,3.0,1200.0,3.0,125.0
JP Nagar,4.0,4624.0,4.0,314.5
other,2.0,1410.0,2.0,67.0
other,2.0,1090.0,2.0,31.48
Ramagondanahalli,1.0,540.0,1.0,30.0
Sarjapur  Road,2.0,1300.0,2.0,60.0
9th Phase JP Nagar,3.0,1890.0,2.0,85.0
other,2.0,1254.0,2.0,53.0
Ulsoor,2.0,1275.0,2.0,120.0
Kathriguppe,3.0,1245.0,2.0,68.48
other,2.0,1170.0,2.0,86.0
Panathur,2.0,1193.0,2.0,86.0
Chandapura,2.0,850.0,2.0,25.4
Marathahalli,3.0,1678.0,3.0,70.0
Gunjur,3.0,1600.0,3.0,75.0
Electronics City Phase 1,3.0,1750.0,3.0,84.0
Whitefield,2.0,1125.0,2.0,62.0
other,4.0,2200.0,4.0,235.0
other,3.0,1559.6234104263974,3.0,95.0
HBR Layout,3.0,2800.0,2.0,200.0
R.T. Nagar,2.0,1200.0,2.0,120.0
other,2.0,1000.0,2.0,50.0
other,4.0,2780.0,5.0,480.0
Electronic City Phase II,3.0,1320.0,2.0,38.13
Ardendale,4.0,2422.0,4.0,160.0
Kasavanhalli,2.0,1100.0,2.0,50.0
Uttarahalli,2.0,882.0,2.0,30.0
Bisuvanahalli,2.0,845.0,2.0,37.0
Kambipura,2.0,883.0,2.0,39.0
Thanisandra,1.0,776.0,2.6926096474673513,48.145
Brookefield,3.0,1595.0,3.0,88.0
Whitefield,2.0,1280.0,2.0,85.0
other,4.0,1700.0,2.0,550.0
other,2.0,920.0,2.0,35.0
Choodasandra,2.0,1300.0,2.0,57.0
other,2.0,1450.0,1.0,230.0
Harlur,3.0,1757.0,3.0,132.0
Anekal,1.0,600.0,1.0,16.5
other,4.0,2400.0,3.0,142.0
Sarjapur,2.0,1240.0,2.0,44.0
EPIP Zone,2.0,1330.0,2.0,93.36
8th Phase JP Nagar,2.0,1062.0,2.0,42.47
JP Nagar,2.0,1078.0,2.0,45.0
Bannerghatta Road,3.0,1460.0,2.0,72.0
Whitefield,3.0,1200.0,3.0,68.5
Laggere,1.0,1200.0,1.0,48.0
Kammasandra,3.0,912.0,2.0,39.0
Hosa Road,3.0,1559.6234104263974,3.0,115.0
Prithvi Layout,4.0,2028.0,4.0,162.0
Mysore Road,2.0,980.0,2.0,45.47
Sarjapur  Road,2.0,1000.0,2.0,40.0
Sarjapur  Road,2.0,1050.0,2.0,62.0
Bannerghatta,3.0,2611.0,3.0,239.0
Domlur,3.0,1875.0,2.0,150.0
Hennur Road,2.0,1065.0,2.0,42.6
Sanjay nagar,3.0,1800.0,3.0,180.0
Sector 7 HSR Layout,2.0,1163.0,2.0,98.86
Tumkur Road,2.0,1098.0,2.0,72.0
5th Phase JP Nagar,3.0,1725.0,2.0,100.0
Whitefield,4.0,4000.0,4.0,330.0
Thubarahalli,2.0,1128.0,2.0,75.0
Yelahanka,3.0,1705.0,3.0,74.16
Thigalarapalya,2.0,1418.0,2.0,95.0
Ramamurthy Nagar,3.0,1500.0,3.0,160.0
Hebbal,2.0,1100.0,2.0,50.0
other,3.0,1464.0,3.0,56.0
Hebbal,2.0,812.0,2.0,55.0
Binny Pete,4.0,2817.0,2.6926096474673513,204.0
other,2.0,1280.0,2.0,40.0
Whitefield,2.0,1420.0,2.0,136.0
Banashankari Stage II,4.0,1200.0,2.0,150.0
Old Airport Road,4.0,2774.0,4.0,207.0
other,3.0,2000.0,3.0,85.0
HBR Layout,3.0,1722.0,3.0,95.0
Indira Nagar,3.0,2800.0,3.0,330.0
other,2.803743235117258,3817.0,2.6926096474673513,124.0
other,3.0,1650.0,3.0,175.0
other,2.0,840.0,2.0,27.0
Jigani,2.0,914.0,2.0,47.0
Hennur Road,3.0,1482.0,2.0,83.73
Kundalahalli,3.0,1724.0,3.0,127.0
other,3.0,1670.0,3.0,91.86
Banaswadi,2.0,1184.0,2.0,53.0
Kodigehaali,2.0,1200.0,2.0,55.0
TC Palaya,2.0,1200.0,2.0,65.0
Jigani,2.0,927.0,2.0,55.0
other,2.0,1242.0,2.0,39.7
Electronic City Phase II,3.0,1220.0,3.0,35.23
Electronic City,3.0,1360.0,2.0,75.0
Brookefield,4.0,2800.0,4.0,240.0
7th Phase JP Nagar,2.0,1180.0,2.0,72.0
Whitefield,3.0,1697.0,3.0,108.0
Yelahanka New Town,2.0,550.0,2.0,26.0
Hennur,2.0,1225.0,2.0,57.0
other,3.0,1690.0,2.0,55.0
other,3.0,1488.0,3.0,57.0
other,3.0,1250.0,2.0,80.0
JP Nagar,1.0,1050.0,1.0,44.0
HSR Layout,2.0,1027.0,2.0,44.0
Kanakpura Road,3.0,1699.0,3.0,81.94
Whitefield,2.0,1205.0,2.0,58.0
other,4.0,712.0,2.0,67.5
Horamavu Agara,2.0,950.0,2.0,39.0
TC Palaya,2.0,1200.0,2.0,70.0
Akshaya Nagar,3.0,1476.0,3.0,120.0
CV Raman Nagar,2.0,1070.0,2.0,55.0
EPIP Zone,3.0,2160.0,4.0,172.0
Sector 2 HSR Layout,2.0,1296.0,2.0,75.0
Chikkalasandra,2.0,1800.0,1.0,128.0
Kanakpura Road,3.0,1570.0,3.0,64.5
Koramangala,2.0,1300.0,2.0,110.0
Sarjapur,4.0,1550.0,2.0,65.0
Electronic City,2.0,770.0,1.0,40.0
Jalahalli,3.0,1870.0,3.0,110.0
other,3.0,1650.0,4.0,160.0
Domlur,3.0,1429.0,3.0,86.0
Babusapalaya,3.0,1167.0,2.0,39.98
Bommasandra,2.0,1035.0,2.0,41.73
Kengeri,3.0,1188.0,2.0,38.0
Sarjapur,3.0,1559.6234104263974,3.0,76.0
Nagarbhavi,1.0,884.0,2.0,36.0
Haralur Road,2.0,1194.0,2.0,46.0
Hoodi,2.0,1026.0,2.0,60.87
Kaikondrahalli,2.0,1115.0,2.0,50.0
Hebbal Kempapura,2.0,1200.0,2.0,125.0
Old Airport Road,4.0,2690.0,4.0,191.0
Subramanyapura,2.0,975.0,2.0,58.0
Hosa Road,3.0,675.0,3.0,72.5
Chamrajpet,4.0,1900.0,2.0,170.0
Banashankari,3.0,600.0,3.0,100.0
OMBR Layout,2.0,1101.0,2.0,65.5
Sarjapur  Road,3.0,1700.0,3.0,135.0
Whitefield,4.0,3606.0,4.0,312.0
Padmanabhanagar,2.0,1258.0,2.0,115.0
Kanakpura Road,3.0,1560.0,3.0,92.0
Old Madras Road,4.0,3630.0,6.0,195.0
JP Nagar,3.0,2000.0,3.0,250.0
Hebbal,4.0,2790.0,4.0,198.0
Badavala Nagar,3.0,1494.0,2.0,94.55
Hennur Road,3.0,1482.0,2.0,87.0
other,2.0,800.0,2.0,50.0
Raja Rajeshwari Nagar,2.0,1185.0,2.0,47.39
Hulimavu,2.0,1100.0,2.0,71.5
NRI Layout,2.0,1300.0,2.0,120.0
other,2.0,1225.0,2.0,150.0
Hulimavu,3.0,1758.0,3.0,65.0
Banaswadi,2.0,1145.0,2.0,55.0
Hormavu,2.0,1180.0,2.0,50.0
other,2.0,1260.0,2.0,58.0
Yelahanka,4.0,3461.0,2.6926096474673513,173.0
Arekere,2.0,1190.0,2.0,55.0
Sarjapur  Road,3.0,1691.0,3.0,119.0
other,4.0,3675.0,4.0,367.0
Frazer Town,3.0,1305.0,3.0,95.45
Basavangudi,3.0,2337.0,4.0,292.0
other,2.0,1200.0,2.0,150.0
Domlur,2.0,1206.0,2.0,217.0
Kogilu,2.0,1140.0,2.0,50.66
other,2.0,1250.0,2.0,65.0
other,3.0,600.0,2.0,60.0
other,2.0,1225.0,2.0,48.0
Kereguddadahalli,2.0,800.0,2.0,28.0
Jalahalli East,2.0,1020.0,2.0,58.0
TC Palaya,4.0,2100.0,2.0,50.0
other,2.0,1350.0,2.0,80.0
Anekal,2.0,925.0,2.0,40.0
Yelachenahalli,4.0,1800.0,3.0,220.0
other,3.0,2000.0,3.0,100.0
Frazer Town,3.0,1510.0,2.0,75.0
other,3.0,1614.0,3.0,110.0
Yeshwanthpur,3.0,682.0,2.0,130.0
Gottigere,2.0,1200.0,2.0,95.0
TC Palaya,2.0,900.0,2.0,55.0
Bommenahalli,4.0,1632.0,3.0,145.0
OMBR Layout,2.0,1041.0,2.0,65.5
Bannerghatta,4.0,3012.0,6.0,250.0
Marathahalli,3.0,1530.0,3.0,74.5
Sector 2 HSR Layout,3.0,1450.0,2.0,135.0
Bannerghatta Road,2.0,1200.0,2.0,75.0
Sahakara Nagar,4.0,1200.0,4.0,130.0
Hosur Road,3.0,1508.0,2.0,110.0
other,2.0,1188.0,2.0,73.0
Old Airport Road,4.0,2690.0,4.0,199.0
Harlur,2.0,1174.0,2.0,76.0
Old Madras Road,3.0,1350.0,3.0,58.99
Frazer Town,3.0,1870.0,3.0,185.0
Kengeri Satellite Town,2.0,1072.0,2.0,25.0
other,3.0,52272.0,2.0,140.0
Kengeri,2.0,726.0,2.0,31.0
Hosur Road,2.0,1345.0,2.0,106.0
Begur Road,2.0,1200.0,2.0,45.0
Nagavarapalya,2.0,980.0,2.0,37.0
Hormavu,2.0,1050.0,2.0,77.0
Uttarahalli,2.0,993.0,2.0,39.71
7th Phase JP Nagar,3.0,1300.0,2.0,52.0
Vittasandra,3.0,1743.0,3.0,85.0
Whitefield,4.0,1204.0,4.0,125.0
Hormavu,2.0,1200.0,2.0,67.0
other,3.0,1480.0,3.0,90.0
Sarjapur,2.0,950.0,2.0,32.5
Domlur,1.0,640.0,1.0,55.0
Electronic City Phase II,2.0,972.0,2.0,44.0
Marathahalli,3.0,1840.0,3.0,98.0
Electronic City,2.0,1128.0,2.0,64.0
other,2.0,680.0,2.0,42.0
other,2.0,2400.0,2.0,95.0
other,2.0,1045.0,2.0,42.0
other,2.0,955.0,2.0,53.55
Doddakallasandra,3.0,1360.0,2.0,54.39
BTM Layout,2.0,1150.0,2.0,63.0
Hennur Road,4.0,3450.0,4.0,294.0
other,2.0,1115.0,2.0,56.87
Jigani,2.0,920.0,2.0,46.0
Bommasandra Industrial Area,2.0,1030.0,2.0,41.0
Thanisandra,3.0,1564.0,3.0,101.0
Uttarahalli,2.0,1045.0,2.0,45.0
Hegde Nagar,4.0,1200.0,4.0,83.0
Subramanyapura,2.0,1277.0,2.0,55.0
other,3.0,2479.13,3.0,215.0
Sarjapur  Road,3.0,1846.0,3.0,140.0
other,2.0,1100.0,2.0,106.0
other,3.0,1690.0,3.0,75.0
Hormavu,2.0,1200.0,3.0,70.0
Yelahanka,4.0,3042.0,4.0,131.0
Rajaji Nagar,3.0,1640.0,3.0,223.0
other,2.0,1068.0,2.0,40.05
Kanakpura Road,2.0,1135.0,2.0,58.0
other,3.0,1925.0,3.0,120.0
Begur Road,3.0,1615.0,3.0,60.0
other,1.0,650.0,1.0,26.0
Kaggadasapura,2.0,1150.0,2.0,42.0
other,3.0,1410.0,2.0,45.12
6th Phase JP Nagar,3.0,600.0,2.0,100.0
other,3.0,2000.0,3.0,207.0
Tumkur Road,3.0,1354.0,3.0,90.0
other,2.0,1050.0,2.0,110.0
Arekere,1.0,600.0,1.0,28.0
Varthur,4.0,1320.0,2.0,110.0
Koramangala,3.0,1600.0,3.0,88.0
Kanakpura Road,4.0,3500.0,6.0,225.0
GM Palaya,2.0,1000.0,2.0,36.0
other,3.0,1130.0,3.0,38.0
Vittasandra,2.0,1238.0,2.0,67.0
other,3.0,2204.0,2.0,305.0
Kudlu Gate,3.0,1364.0,2.0,46.38
other,2.0,900.0,2.0,45.0
Gubbalala,3.0,1745.0,3.0,104.0
Kogilu,2.0,1200.0,2.0,53.33
Kanakapura,2.0,1020.0,2.0,42.83
Banashankari Stage III,3.0,1650.0,3.0,118.0
other,3.0,1550.0,2.0,70.0
5th Phase JP Nagar,2.0,1440.0,2.0,60.0
Sarjapura - Attibele Road,3.0,1329.0,2.0,45.95
other,2.0,916.0,2.0,42.0
Hulimavu,1.0,688.0,1.0,50.0
other,3.0,1358.0,3.0,50.0
Kanakpura Road,2.0,1331.0,2.0,107.0
Malleshwaram,1.0,686.0,1.0,62.5
Hoodi,2.0,1050.0,2.0,50.0
Talaghattapura,3.0,2106.0,3.0,126.0
Bhoganhalli,3.0,1718.0,3.0,90.2
Raja Rajeshwari Nagar,3.0,1530.0,3.0,57.0
5th Block Hbr Layout,2.0,1206.0,2.0,56.0
Hebbal,2.0,1075.0,2.0,52.0
Sarjapur  Road,3.0,1200.0,3.0,95.0
other,3.0,1936.0,2.0,54.21
Nagavara,4.0,2172.65,3.0,120.0
Sahakara Nagar,3.0,1100.0,2.0,75.0
BTM 2nd Stage,3.0,1260.0,5.0,185.0
Jalahalli East,3.0,800.0,2.0,80.0
Sarjapur  Road,2.0,1117.0,2.0,29.99
other,3.0,1685.0,2.0,110.0
CV Raman Nagar,2.0,740.0,2.0,37.0
Chamrajpet,4.0,1080.0,4.0,250.0
Magadi Road,4.0,1500.0,2.0,93.0
Banashankari,3.0,1800.0,3.0,115.0
Yelachenahalli,3.0,1700.0,3.0,130.0
Uttarahalli,2.0,850.0,2.0,37.93
Hennur Road,3.0,1891.0,3.0,139.0
Jalahalli,2.0,1400.0,1.0,80.0
Lakshminarayana Pura,2.0,1172.0,2.0,82.0
Electronic City Phase II,3.0,1400.0,2.0,40.43
Sonnenahalli,2.0,896.0,2.0,43.75
Vijayanagar,2.0,1180.0,2.0,65.0
other,2.0,850.0,2.0,33.0
Anekal,1.0,530.0,1.0,18.0
other,3.0,1550.0,3.0,110.0
Kanakapura,3.0,1699.0,3.0,97.0
Bellandur,4.0,2025.0,4.0,109.0
Ananth Nagar,1.0,500.0,2.0,14.0
other,1.0,500.0,1.0,20.0
other,2.0,1146.0,2.0,38.5
Malleshwaram,3.0,2475.0,4.0,332.0
Haralur Road,2.0,1455.0,2.0,145.0
Seegehalli,2.0,800.0,1.0,50.0
Abbigere,1.0,765.0,2.0,30.0
Lingadheeranahalli,3.0,1521.0,3.0,94.99
Gottigere,3.0,1600.0,2.0,55.0
other,3.0,3155.0,4.0,370.0
Hebbal Kempapura,3.0,2900.0,4.0,240.0
other,3.0,1765.0,3.0,105.0
Kasavanhalli,3.0,1980.0,3.0,88.0
Amruthahalli,3.0,1900.0,3.0,135.0
other,2.0,1265.0,2.0,70.0
Bommasandra,2.0,1034.0,2.0,40.0
other,2.0,1012.0,2.0,59.0
Electronic City,2.0,1070.0,2.0,54.0
Mahadevpura,4.0,3555.0,4.0,230.0
5th Block Hbr Layout,3.0,1270.0,2.0,70.0
Yeshwanthpur,2.0,585.0,1.0,70.0
other,3.0,2045.0,4.0,154.0
Bellandur,3.0,1490.0,2.0,98.0
Mysore Road,2.0,883.0,2.0,40.0
Yeshwanthpur,1.0,671.0,1.0,36.85
Kammasandra,2.0,1156.0,2.0,32.0
Haralur Road,3.0,2017.0,3.0,125.0
Thigalarapalya,4.0,3122.0,6.0,235.0
Ramagondanahalli,3.0,1635.0,3.0,62.0
Kanakpura Road,2.0,1296.0,2.0,89.0
Budigere,2.0,1139.0,2.0,62.0
CV Raman Nagar,2.0,1230.0,3.0,47.0
other,1.0,581.91,2.0,25.0
Binny Pete,2.0,1245.0,2.0,86.28
other,3.0,1158.0,2.0,85.0
Marathahalli,4.0,3951.0,4.0,220.0
Electronic City,2.0,550.0,1.0,15.0
Ramamurthy Nagar,1.0,360.0,1.0,26.0
Electronics City Phase 1,3.0,1350.0,3.0,55.0
Green Glen Layout,3.0,1670.0,3.0,120.0
Akshaya Nagar,3.0,1600.0,2.0,65.0
Horamavu Banaswadi,2.0,1307.0,2.0,51.6
7th Phase JP Nagar,3.0,1050.0,2.0,57.0
Hennur Road,3.0,1703.0,3.0,101.0
Kaggalipura,3.0,1210.0,2.0,58.0
Electronic City,2.0,1025.0,2.0,29.6
Haralur Road,2.0,1140.0,2.0,43.0
7th Phase JP Nagar,3.0,1343.0,2.0,56.41
R.T. Nagar,3.0,1560.0,3.0,85.0
other,2.0,925.0,2.0,51.0
Kanakpura Road,3.0,1420.0,2.0,75.0
other,2.0,1415.0,2.0,110.0
other,2.0,1210.0,2.0,60.0
Yeshwanthpur,3.0,1852.0,3.0,160.0
Hoskote,3.0,1250.0,3.0,50.0
9th Phase JP Nagar,2.0,1100.0,2.0,65.0
2nd Phase Judicial Layout,2.0,1150.0,2.0,40.25
Jakkur,2.0,1100.0,2.0,53.35
Magadi Road,2.0,1350.0,1.0,100.0
Panathur,3.0,1546.0,3.0,99.0
Ambedkar Nagar,2.0,1424.0,2.0,90.0
Bellandur,3.0,1398.0,3.0,68.0
Indira Nagar,3.0,1650.0,3.0,200.0
HBR Layout,4.0,1200.0,4.0,120.0
Brookefield,3.0,1476.0,3.0,105.0
other,2.0,500.0,2.0,70.0
Magadi Road,3.0,1322.0,2.0,58.82
other,2.0,432.0,2.0,40.0
other,2.0,1100.0,2.0,55.0
other,4.0,4750.0,5.0,600.0
Sarjapur,3.0,1285.0,2.0,68.0
Ambalipura,2.0,1150.0,2.0,80.0
Thanisandra,3.0,1430.0,2.0,56.0
Marathahalli,3.0,1350.0,2.0,62.0
other,3.0,1350.0,3.0,195.0
Thubarahalli,2.0,1185.0,2.0,65.0
Bannerghatta Road,3.0,1760.0,3.0,67.0
other,4.0,2400.0,5.0,350.0
Kanakpura Road,2.0,900.0,2.0,41.0
Kanakpura Road,2.0,1297.0,2.0,105.0
other,3.0,1840.0,3.0,155.0
Ramamurthy Nagar,2.0,950.0,2.0,50.79
BTM 2nd Stage,2.0,950.0,2.0,52.0
Yeshwanthpur,2.0,1277.0,2.0,95.815
Electronic City,3.0,1571.0,3.0,89.0
Electronic City Phase II,2.0,1031.0,2.0,55.0
Whitefield,2.0,1485.0,2.0,90.0
Ananth Nagar,2.0,1109.0,2.0,60.0
Koramangala,3.0,2200.0,3.0,180.0
Whitefield,1.0,950.0,1.0,50.0
Laggere,3.0,1200.0,2.0,150.0
Hosa Road,2.0,1161.0,2.0,55.15
Basavangudi,3.0,2350.0,3.0,300.0
Electronic City Phase II,2.0,1003.0,2.0,40.6
other,2.0,1350.0,2.0,185.0
9th Phase JP Nagar,2.0,1080.0,2.0,37.0
Hulimavu,2.0,1255.0,2.0,73.0
Banaswadi,2.0,1250.0,2.0,60.0
Brookefield,4.0,1700.0,4.0,152.0
Ramamurthy Nagar,3.0,1200.0,2.0,66.0
other,2.0,824.0,2.0,60.0
1st Phase JP Nagar,3.0,1875.0,3.0,167.0
Bommasandra Industrial Area,3.0,1320.0,2.0,38.12
Uttarahalli,3.0,1330.0,2.0,47.0
Kaikondrahalli,3.0,1220.0,3.0,56.0
Electronic City,3.0,1111.0,3.0,50.0
Kothannur,2.0,1197.0,2.0,47.88
Marathahalli,4.0,2519.0,5.0,185.0
other,3.0,1340.0,2.0,100.0
Old Madras Road,4.0,1450.0,3.0,132.0
Hoodi,3.0,1837.0,3.0,145.0
Haralur Road,4.0,1200.0,4.0,245.0
Kudlu Gate,2.0,1238.0,2.0,55.0
7th Phase JP Nagar,3.0,1405.0,2.0,59.01
Doddaballapur,4.0,1690.0,3.0,80.0
other,3.0,1620.0,2.0,110.0
Kanakpura Road,3.0,1673.0,3.0,115.0
Margondanahalli,2.0,1090.0,2.0,58.0
Varthur,2.0,1112.0,2.0,40.0
Marathahalli,3.0,1385.0,2.0,66.65
Electronic City Phase II,2.0,545.0,1.0,27.0
Subramanyapura,2.0,985.0,2.0,58.0
Kanakpura Road,1.0,825.0,1.0,36.29
Kanakpura Road,2.0,1080.0,2.0,37.8
Hosa Road,2.0,1430.0,2.0,97.52
Kengeri Satellite Town,2.0,1050.0,2.0,43.0
Kumaraswami Layout,4.0,2000.0,4.0,139.0
Banashankari Stage VI,4.0,4800.0,4.0,190.0
other,3.0,1533.0,3.0,115.0
other,4.0,2800.0,3.0,500.0
Malleshwaram,3.0,2610.0,3.0,399.0
Lakshminarayana Pura,3.0,1750.0,3.0,150.0
TC Palaya,3.0,1200.0,2.0,66.0
Prithvi Layout,2.0,1352.0,2.0,87.5
Harlur,3.0,1754.0,3.0,125.0
other,3.0,1560.0,3.0,85.0
Bannerghatta,4.0,3012.0,6.0,268.0
Whitefield,4.0,3584.0,4.0,199.0
Channasandra,3.0,1470.0,2.0,90.0
9th Phase JP Nagar,2.0,1035.0,2.0,45.0
Whitefield,4.0,2400.0,5.0,329.0
Kammanahalli,2.0,1160.0,2.0,52.0
Jakkur,2.0,1100.0,2.0,52.0
Horamavu Agara,2.0,1170.0,2.0,38.0
Bannerghatta Road,1.0,595.0,1.0,31.83
HSR Layout,3.0,1650.0,3.0,110.0
1st Block Jayanagar,3.0,1875.0,2.0,235.0
other,4.0,800.0,4.0,80.0
other,3.0,1375.0,2.0,48.06
Ramagondanahalli,2.0,1235.0,2.0,46.8
